okhttp-master	120	java.io.FileNotFoundException	Checked	Java	false	false
okhttp-master	121	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	122	java.io.IOException	Checked	Java	false	true
okhttp-master	123	java.io.IOException	Checked	Java	false	true
okhttp-master	124	java.io.IOException	Checked	Java	false	true
okhttp-master	125	java.io.IOException	Checked	Java	false	false
okhttp-master	126	java.io.IOException	Checked	Java	false	false
okhttp-master	127	java.io.IOException	Checked	Java	false	false
okhttp-master	128	java.io.IOException	Checked	Java	false	false
okhttp-master	129	java.io.IOException	Checked	Java	false	false
okhttp-master	130	java.io.IOException	Checked	Java	false	true
okhttp-master	131	java.io.IOException	Checked	Java	false	false
okhttp-master	132	java.io.IOException	Checked	Java	false	true
okhttp-master	133	java.io.IOException	Checked	Java	false	true
okhttp-master	134	java.io.IOException	Checked	Java	false	true
okhttp-master	135	java.io.IOException	Checked	Java	false	true
okhttp-master	136	java.io.IOException	Checked	Java	false	true
okhttp-master	137	java.io.IOException	Checked	Java	false	false
okhttp-master	138	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	139	java.io.EOFException	Checked	Java	false	false
okhttp-master	140	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	141	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	142	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	143	okhttp3.internal.connection.RouteException	Unchecked	System	false	false
okhttp-master	144	java.io.IOException	Checked	Java	false	false
okhttp-master	145	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	146	java.io.IOException	Checked	Java	false	false
okhttp-master	147	java.net.ConnectException	Checked	Java	false	false
okhttp-master	148	java.lang.NullPointerException	Unchecked	Java	false	false
okhttp-master	149	java.lang.Exception	Checked	Java	false	false
okhttp-master	150	java.lang.AssertionError	Error	Java	false	false
okhttp-master	151	javax.net.ssl.SSLPeerUnverifiedException	Checked	Java	false	false
okhttp-master	152	java.net.SocketTimeoutException	Checked	Java	false	true
okhttp-master	153	java.io.IOException	Checked	Java	false	false
okhttp-master	154	java.lang.Exception	Checked	Java	false	false
okhttp-master	155	java.lang.reflect.InvocationTargetException	Checked	Java	false	true
okhttp-master	155	java.lang.IllegalAccessException	Checked	Java	false	true
okhttp-master	156	java.lang.Exception	Checked	Java	false	false
okhttp-master	157	java.io.IOException	Checked	Java	false	false
okhttp-master	158	java.io.IOException	Checked	Java	false	true
okhttp-master	159	java.io.IOException	Checked	Java	false	false
okhttp-master	160	java.io.IOException	Checked	Java	false	false
okhttp-master	161	java.io.IOException	Checked	Java	false	false
okhttp-master	162	java.io.IOException	Checked	Java	false	false
okhttp-master	163	java.io.EOFException	Checked	Java	false	false
okhttp-master	164	java.io.IOException	Checked	Java	false	true
okhttp-master	165	java.io.IOException	Checked	Java	false	true
okhttp-master	166	java.io.FileNotFoundException	Checked	Java	false	false
okhttp-master	167	java.io.FileNotFoundException	Checked	Java	false	false
okhttp-master	168	java.io.IOException	Checked	Java	false	true
okhttp-master	169	java.lang.NumberFormatException	Unchecked	Java	false	false
okhttp-master	170	java.io.FileNotFoundException	Checked	Java	false	false
okhttp-master	171	java.io.IOException	Checked	Java	false	true
okhttp-master	172	java.io.IOException	Checked	Java	false	false
okhttp-master	173	java.io.IOException	Checked	Java	false	false
okhttp-master	174	java.io.IOException	Checked	Java	false	false
okhttp-master	175	java.io.IOException	Checked	Java	false	false
okhttp-master	176	java.io.IOException	Checked	Java	true	false
okhttp-master	177	java.lang.Exception	Checked	Java	false	false
okhttp-master	178	java.lang.CloneNotSupportedException	Checked	Java	false	false
okhttp-master	179	java.io.IOException	Checked	Java	false	false
okhttp-master	180	java.lang.Throwable	Checked	Java	false	false
okhttp-master	181	java.net.SocketException	Checked	Java	false	false
okhttp-master	182	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	183	java.io.IOException	Checked	Java	false	false
okhttp-master	184	java.io.IOException	Checked	Java	false	false
okhttp-master	185	java.lang.Exception	Checked	Java	false	false
okhttp-master	186	java.io.IOException	Checked	Java	false	true
okhttp-master	187	java.io.IOException	Checked	Java	false	false
okhttp-master	188	java.io.IOException	Checked	Java	false	false
okhttp-master	189	java.lang.InterruptedException	Checked	Java	false	true
okhttp-master	190	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	191	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	192	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	193	java.lang.InterruptedException	Checked	Java	false	false
okhttp-master	194	java.security.GeneralSecurityException	Checked	Java	false	false
okhttp-master	194	java.net.UnknownHostException	Checked	Java	false	false
okhttp-master	195	java.security.GeneralSecurityException	Checked	Java	false	false
okhttp-master	196	java.io.IOException	Checked	Java	false	false
okhttp-master	197	java.io.IOException	Checked	Java	false	false
okhttp-master	198	java.lang.Exception	Checked	Java	false	false
okhttp-master	199	java.io.IOException	Checked	Java	false	false
okhttp-master	200	java.io.IOException	Checked	Java	false	false
okhttp-master	201	java.lang.InterruptedException	Checked	Java	false	true
okhttp-master	202	java.io.IOException	Checked	Java	false	false
okhttp-master	203	java.io.IOException	Checked	Java	false	false


