PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
91	java.lang.IllegalArgumentException	Unchecked	Java	false	false
92	java.lang.NumberFormatException	Unchecked	Java	false	false
93	java.lang.IllegalArgumentException	Unchecked	Java	false	true
94	java.io.UnsupportedEncodingException	Checked	Java	false	false
95	java.io.UnsupportedEncodingException	Checked	Java	false	false
96	java.lang.NumberFormatException	Unchecked	Java	false	false
97	java.lang.IllegalArgumentException	Unchecked	Java	false	false
98	java.lang.IllegalArgumentException	Unchecked	Java	false	false
99	com.google.zxing.NotFoundException	Checked	System	false	false
100	com.google.zxing.FormatException	Checked	System	false	false
101	com.google.zxing.NotFoundException	Checked	System	false	false
101	com.google.zxing.FormatException	Checked	System	false	false
102	com.google.zxing.common.reedsolomon.ReedSolomonException	Checked	System	false	false
103	com.google.zxing.NotFoundException	Checked	System	false	false
104	com.google.zxing.NotFoundException	Checked	System	false	false
105	com.google.zxing.common.reedsolomon.ReedSolomonException	Checked	System	false	false
106	java.io.IOException	Checked	Java	false	false
107	java.io.IOException	Checked	Java	false	false
108	java.lang.RuntimeException	Unchecked	Java	false	false
109	android.content.ActivityNotFoundException	Unchecked	Library	false	false
110	java.lang.InterruptedException	Checked	Java	false	true
111	java.lang.IllegalArgumentException	Unchecked	Java	false	true
112	com.google.zxing.ReaderException	Checked	System	false	true
113	java.lang.NumberFormatException	Unchecked	Java	false	false
114	java.lang.InterruptedException	Checked	Java	false	true
115	java.io.IOException	Checked	Java	false	true
115	java.lang.NullPointerException	Unchecked	Java	false	true
116	java.net.URISyntaxException	Checked	Java	false	true
117	java.lang.NullPointerException	Unchecked	Java	false	false
118	java.lang.RuntimeException	Unchecked	Java	false	false
119	java.lang.NullPointerException	Unchecked	Java	false	false
119	java.lang.StringIndexOutOfBoundsException	Unchecked	Java	false	false
119	java.lang.IllegalArgumentException	Unchecked	Java	false	false
120	java.util.concurrent.RejectedExecutionException	Unchecked	Java	false	false
121	java.lang.InterruptedException	Checked	Java	false	true
122	java.net.URISyntaxException	Checked	Java	false	false
123	java.io.UnsupportedEncodingException	Checked	Java	false	true
124	java.lang.InterruptedException	Checked	Java	false	true
125	java.lang.IllegalArgumentException	Unchecked	Java	false	false
126	java.lang.IllegalArgumentException	Unchecked	Java	false	false
127	java.text.ParseException	Checked	Java	false	true
128	android.content.ActivityNotFoundException	Unchecked	Library	false	false
129	android.content.ActivityNotFoundException	Unchecked	Library	false	false
130	android.content.ActivityNotFoundException	Unchecked	Library	false	false
131	java.io.UnsupportedEncodingException	Checked	Java	false	true
132	org.json.JSONException	Checked	Library	false	false
133	java.util.concurrent.RejectedExecutionException	Unchecked	Java	false	true
134	java.io.IOException	Checked	Java	false	false
135	java.io.IOException	Checked	Java	false	false
136	java.net.URISyntaxException	Checked	Java	false	false
137	android.content.ActivityNotFoundException	Unchecked	Library	false	false
138	android.database.SQLException	Unchecked	Library	false	false
139	android.database.CursorIndexOutOfBoundsException	Unchecked	Library	false	false
140	android.database.SQLException	Unchecked	Library	false	false
141	android.database.SQLException	Unchecked	Library	false	false
142	android.database.SQLException	Unchecked	Library	false	false
143	android.database.SQLException	Unchecked	Library	false	false
