PROJECT	EXCEPTION	TYPE	ORIGIN	HANDLERS	AUTOCOMPLETE	EMPTY
spring-framework-master	org.springframework.web.server.NotAcceptableStatusException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.web.multipart.MultipartException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.core.convert.ConversionException	Unchecked	System	6	0	0
spring-framework-master	org.springframework.core.convert.ConverterNotFoundException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.core.convert.ConversionFailedException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.beans.BeansException	Unchecked	System	28	0	0
spring-framework-master	org.springframework.beans.PropertyBatchUpdateException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.beans.factory.FactoryBeanNotInitializedException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.beans.factory.support.BeanDefinitionValidationException	Unchecked	System	3	0	0
spring-framework-master	org.springframework.beans.factory.BeanCreationException	Unchecked	System	10	0	0
spring-framework-master	org.springframework.beans.factory.UnsatisfiedDependencyException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.beans.factory.BeanDefinitionStoreException	Unchecked	System	9	0	0
spring-framework-master	org.springframework.beans.InvalidPropertyException	Unchecked	System	4	0	4
spring-framework-master	org.springframework.beans.NullValueInNestedPathException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.beans.NotReadablePropertyException	Unchecked	System	5	0	0
spring-framework-master	org.springframework.beans.NotWritablePropertyException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.beans.BeanInstantiationException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.beans.factory.CannotLoadBeanClassException	Unchecked	System	3	0	1
spring-framework-master	org.springframework.beans.PropertyAccessException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.beans.TypeMismatchException	Unchecked	System	10	0	0
spring-framework-master	org.springframework.beans.ConversionNotSupportedException	Unchecked	System	2	0	0
spring-framework-master	org.springframework.beans.factory.NoSuchBeanDefinitionException	Unchecked	System	41	0	12
spring-framework-master	org.springframework.beans.factory.NoUniqueBeanDefinitionException	Unchecked	System	7	0	0
spring-framework-master	org.springframework.web.socket.sockjs.SockJsException	Unchecked	System	1	0	0
spring-framework-master	org.springframework.web.socket.server.HandshakeFailureException	Unchecked	System	2	0	0



HANDLER ID	HANDLED EXCEPTION	EXCEPTION TYPE	EXCEPTION ORIGIN	AUTOCOMPLETE	EMPTY
1	org.springframework.web.socket.server.HandshakeFailureException	Unchecked	System	false	false
2	java.lang.Throwable	Checked	Java	false	false
3	org.springframework.web.socket.sockjs.SockJsException	Unchecked	System	false	false
4	java.lang.Throwable	Checked	Java	false	false
5	java.lang.Throwable	Checked	Java	false	false
6	java.lang.Exception	Checked	Java	false	true
7	java.lang.Exception	Checked	Java	false	true
8	java.lang.Throwable	Checked	Java	false	false
9	java.lang.Throwable	Checked	Java	false	false
10	java.lang.Throwable	Checked	Java	false	false
11	java.lang.Throwable	Checked	Java	false	false
12	java.lang.Throwable	Checked	Java	false	false
13	java.lang.Throwable	Checked	Java	false	false
14	java.lang.Throwable	Checked	Java	false	true
15	java.lang.Throwable	Checked	Java	false	true
16	java.lang.Throwable	Checked	Java	false	false
17	java.lang.Throwable	Checked	Java	false	false
18	java.lang.Throwable	Checked	Java	false	false
19	java.lang.Throwable	Checked	Java	false	true
20	java.lang.Throwable	Checked	Java	false	false
21	java.lang.Throwable	Checked	Java	false	false
22	java.io.IOException	Checked	Java	false	false
23	java.lang.Throwable	Checked	Java	false	false
24	java.io.IOException	Checked	Java	false	false
25	java.io.IOException	Checked	Java	false	false
26	java.io.IOException	Checked	Java	false	false
27	java.lang.Exception	Checked	Java	false	false
28	java.io.IOException	Checked	Java	false	false
29	java.lang.Throwable	Checked	Java	false	false
30	java.io.IOException	Checked	Java	false	false
31	java.lang.Throwable	Checked	Java	false	false
32	org.springframework.http.InvalidMediaTypeException	Unchecked	System	false	true
33	java.io.IOException	Checked	Java	false	false
34	java.lang.Throwable	Checked	Java	false	false
35	java.lang.Throwable	Checked	Java	false	false
36	java.lang.Throwable	Checked	Java	false	false
37	java.io.IOException	Checked	Java	false	false
